연월,공급업체명,공급업체유형,계약내역,계약유형
2023-03,(주)해마종합건축사사무소,중소기업,제주발전본부 종합사옥 신축 설계용역,용역
2023-08,(주)삼호엔지니어링,중소기업,(긴급)보령발전본부 제 1부두 소방설비 설치공사,공사
2023-09,동일건설(주),중소기업,2023년도 발전소 건축 영선공사,공사
2023-06,(주)민테크,중소기업,신서천발전본부 단신부임자사택 신축 통신공사,공사
2023-07,(주)에네스지,중소기업,"유찰수의공고_제6호기 LP TBN ROTOR 정밀진단 용역,C23P-용(2)07-00",용역
2023-06,(주)씨드젠,중소기업,정보시스템 취약점 진단 컨설팅 용역,용역
2023-06,피에이엔지니어링,중소기업,유찰수의공고_전력설비 예측진단 시스템 구매,구매
2023-06,하이젠알앤엠주식회사,중소기업,지체상금 지급,구매
2023-05,동일건설(주),중소기업,2023년도 발전소 건축 영선공사,공사
2023-05,(주)선우종합건설,중소기업,2023년도 발전소 토목 영선공사,공사
2023-12,(주)에네스지,중소기업,"유찰수의공고_제5호기 LP TBN ROTOR 정밀진단 용역,C23P-용(2)13-00",용역
2023-03,주식회사 흥도,중소기업,내연 바이오중유 연료배관 신설공사,공사
2023-10,주식회사 코펙,중소기업,제5호기 계획예방정비용 공기예열기 열소자 제작구매,구매
2023-10,(주)히타치에너지코리아,중소기업,복합 3호기 ECMS 소프트웨어 및 워크스테이션 구매,구매
2023-12,덕산넵코어스 주식회사,중소기업,보령ㆍ신보령발전본부 통합 드론식별체계 추가 도입(설치포함),구매
2023-06,첨단기공(주),중소기업,하역 벨트컨베이어 감속기 예비품 제작구매/C23P-기술32-00,구매
2023-08,(주)태산로테이트먼트,중소기업,2023년도 제7호기 AUX. VALVE류 공사,공사
2023-07,대림기업(주),중소기업,탈황 흡수탑 재순환펌프(ARP) 정비자재 구,구매
2023-06,주식회사 세진아이엔,중소기업,해수 냉각수 방류구 폼펜스 제작 구매(현장,구매
2023-06,주식회사 벨로크,중소기업,본사 네트워크 보안성 제고 자재 구매,구매
2023-11,엔에스시스템(주),중소기업,"남부회처리장 회 이송배관 연장 및 지지철골 설치공사,C23P-공(2)47-00",공사
2023-09,주식회사 유퍼니,중소기업,단신부임자 사택 신축 사급자재(가구) 구매,구매
2023-06,(주)태화기전,중소기업,GIS 72Bay 정밀점검 기성고 지급,공사
2023-09,(주)성원피앤에스,중소기업,"유찰수의공고_CCS설비 흡수제 연료(AMINE-1,2) 구매",구매
2023-05,(주)오르비스,중소기업,"제3,4호기 고압전동기 원격절연저항 측정시스템 구매(현장설치도),C20P-2발86-00",구매
2023-06,(주)에너토크,중소기업,"7,8호기 노후 전동밸브 국산화 제작구매(현장설치도)",구매
2023-12,우남전력주식회사,중소기업,2023년 사옥 및 부대건물 전기설비 영선공사,공사
2023-06,(주)에네스지,중소기업,신서천 터빈 윤활유 플러싱장비 제작구매,구매
2023-05,하이젠알앤엠주식회사,중소기업,"석탄취급설비 2발상탄라인 고,저압 분진방폭 전동기 제작구매/C22P-기술50-00",구매
2023-06,(주)에네스지,중소기업,"제3,5,6호기 축류팬 유압작동기",공사
2023-10,보령해운개발(주),중소기업,(매립석탄재 운반 및 재활용 9월 기성고 지,용역
2023-05,하이젠알앤엠주식회사,중소기업,석탄취급설비 3발 상탄계통 고저압 분진방폭 전동기 제작구매/C23P-기술21-00,구매
2023-12,㈜에이치케이씨,중소기업,복합 3호기 HRSG 저압증발기 튜브 교체 공사,공사
2023-12,(주)민테크,중소기업,신서천발전본부 단신부임자사택 신축 통신공사,공사
2023-07,고려공업검사(주),중소기업,기성고 지불의뢰(#8 PAUT),공사
2023-06,주식회사 대명일레콤,중소기업,여수 EXPO 태양광 인버터 구매(설치조건부),구매
2023-03,(주)원프랜트,중소기업,2023년 발전위탁 01월 기성고,공사
2023-03,(주)원프랜트,중소기업,2023년 발전위탁 02월 기성고,공사
2023-04,(주)원프랜트,중소기업,2023년 발전위탁 03월 기성고,공사
2023-05,(주)원프랜트,중소기업,2023년 발전위탁 04월 기성고,공사
2023-06,(주)원프랜트,중소기업,2023년 발전위탁 05월 기성고,공사
2023-07,(주)원프랜트,중소기업,2023년 발전위탁 06월 기성고,공사
2023-08,(주)원프랜트,중소기업,2023년 발전위탁 07월 기성고,공사
2023-09,(주)원프랜트,중소기업,2023년 발전위탁 08월 기성고,공사
2023-11,(주)원프랜트,중소기업,2023년 발전위탁 10월 기성고,공사
2023-07,대양롤랜트(주),중소기업,석탄취급설비 자가소화표시 IDLER 제작구매/C23P-기술43-00,구매
2023-04,(주)제스엔지니어링,중소기업,복합 2호기 CTCS 기술개발제품 제작구매(현장설치도),구매
2023-06,지이파워서비스코리아 주식회사,중소기업,"기력 2,3호기 터빈제어시스템 업그레이드자재 구매",구매
2023-12,(주)대성제이테크,중소기업,석탄취급설비 ROLL SCREEN ROLLER 제작 구매,구매
2023-05,고려공업검사(주),중소기업,기성고 지불의뢰(#3 BLR 비파괴),공사
2023-06,(주)크로니아이티,중소기업,DB암호화 소프트웨어 구매(KMS),구매
2023-06,티에스테크(주),중소기업,2022년 발전소 및 사택 영선공사,공사
2023-03,터보파워텍(주),중소기업,유찰수의공고_보령복합 가스터빈 COMPRESSOR VANE CARRIER/C22P-복합42-00,구매
2023-06,에스피피에스(주),중소기업,기력 2호기 보일러 튜브 화학세정 공사,공사
2023-05,거명파워(주),중소기업,기력 2호기 터빈 NOZZLE BOX 및 다이아프램 긴급 반출정비 공사,공사
2023-11,(주)마스테코,중소기업,신보령 주제어동 가스계 소화설비 소화약제 구매,구매
2023-07,주식회사 벨로크,중소기업,영상회의 및 음향설비 보강자재 구매,구매
2023-05,(주)중소기업유통센터,중소기업,동반성장평가 8년연속 최우수등급 달성 기념품,구매
2023-01,HS감속기,중소기업,신보령 석탄취급설비 감속기 예비품 제작구매,구매
2023-08,고려공업검사(주),중소기업,기성고 지불의뢰(#7 비파괴),공사
2023-02,하이밸류컨설팅(주),중소기업,'21~'23년도 SAP 패키지 서포트 사용권 구매,구매
2023-05,하이밸류컨설팅(주),중소기업,'21~'23년도 SAP 패키지 서포트 사용권 구매,구매
2023-08,하이밸류컨설팅(주),중소기업,'21~'23년도 SAP 패키지 서포트 사용권 구매,구매
